DL-methionine; chemical synthesis; at processing plant
operation of Cotton module builder; for harvesting cotton; at farm; 165HP, 17 ft wide
operation of Cotton module builder; for harvesting cotton; at farm; 190HP tractor, R4-8
operation of Cotton module builder; for harvesting cotton; at farm; 190HP, 16 ft wide
operation of Cotton picker/ module; for harvesting cotton; at farm; 365HP, R6-8
operation of Cotton picker; for harvesting cotton; at farm; 255HP, R4-8
operation of Cotton picker; for harvesting cotton; at farm; 325HP tractor, R4-8
operation of Cotton stripper/ buggy; for harvesting cotton; at farm; 150HP tractor, R5-8
operation of Cotton stripper/ module; for harvesting cotton; at farm; 150HP tractor, R4-8
operation of Cultipacker (Cultipacker, roller); for growing corn; at farm; 130HP tractor, 21 ft wide
operation of Cultipacker (Cultipacker, roller); for growing corn; at farm; 150HP tractor, 24 ft wide
operation of Cultipacker (Cultipacker, roller); for growing corn; at farm; 55HP tractor, 11 ft wide
operation of Cultipacker (Roller, corrugated packer); for growing rice; at farm; 130HP tractor, 21 ft wide
operation of Cultipacker (Roller, corrugated packer); for growing rice; at farm; 150HP tractor, 24 ft wide
operation of Cultipacker (Roller, corrugated packer); for growing rice; at farm; 55HP tractor, 11 ft wide
operation of Directed sprayer; for growing corn; at farm; 170HP tractor, R8-30
operation of Directed sprayer; for growing cotton; at farm; 170HP tractor, R8-8
operation of Directed sprayer; for growing oats; at farm; 170HP tractor, R8-8
operation of Directed sprayer; for growing peanuts; at farm; 170HP tractor, R8-38
operation of Directed sprayer; for growing rice; at farm; 170HP tractor, R8-8
operation of Directed sprayer; for growing soybeans; at farm; 170HP tractor, R8-15
operation of Directed sprayer; for growing spring wheat; at farm; 170HP tractor, R8-8
operation of Directed sprayer; for growing winter wheat; at farm; 170HP tractor, R8-8
operation of Do all (Do all, on beds); for growing corn; at farm; 205HP tractor, 17 ft wide
operation of Do all (Do all, on beds); for growing corn; at farm; 255HP tractor, 24 ft wide
operation of Do all (Do all, on beds); for growing corn; at farm; 300HP tractor, 30 ft wide
operation of Do all (Do all, on beds); for growing cotton; at farm; 205HP tractor, 17 ft wide
operation of Do all (Do all, on beds); for growing cotton; at farm; 255HP tractor, 24 ft wide
operation of Do all (Do all, on beds); for growing cotton; at farm; 300HP tractor, 30 ft wide
operation of Do all; for growing corn; at farm; 175HP tractor, 17 ft wide
operation of Do all; for growing corn; at farm; 225HP tractor, 24 ft wide
operation of Do all; for growing corn; at farm; 260HP tractor, 30 ft wide
operation of Dry spreader; for growing corn; at farm; 190HP tractor, 31 ft wide
operation of Dry spreader; for growing corn; at farm; 240HP tractor, 38 ft wide
operation of Dry spreader; for growing corn; at farm; 280HP tractor, 44 ft wide
operation of Dry spreader; for growing cotton; at farm; 190HP tractor, 31 ft wide
operation of Dry spreader; for growing cotton; at farm; 240HP tractor, 38 ft wide
operation of Dry spreader; for growing cotton; at farm; 280HP tractor, 44 ft wide
operation of Dry spreader; for growing oats; at farm; 190HP tractor, 31 ft wide
operation of Dry spreader; for growing oats; at farm; 240HP tractor, 38 ft wide
operation of Dry spreader; for growing oats; at farm; 280HP tractor, 44 ft wide
operation of Dry spreader; for growing peanuts; at farm; 190HP tractor, 31 ft wide
operation of Dry spreader; for growing peanuts; at farm; 240HP tractor, 38 ft wide
operation of Dry spreader; for growing peanuts; at farm; 280HP tractor, 44 ft wide
operation of Dry spreader; for growing rice; at farm; 190HP tractor, 31 ft wide
operation of Dry spreader; for growing rice; at farm; 240HP tractor, 38 ft wide
operation of Dry spreader; for growing rice; at farm; 280HP tractor, 44 ft wide
operation of Dry spreader; for growing soybeans; at farm; 190HP tractor, 31 ft wide
operation of Dry spreader; for growing soybeans; at farm; 240HP tractor, 38 ft wide
operation of Dry spreader; for growing soybeans; at farm; 280HP tractor, 44 ft wide
operation of Dry spreader; for growing spring wheat; at farm; 190HP tractor, 31 ft wide
operation of Dry spreader; for growing spring wheat; at farm; 240HP tractor, 38 ft wide
operation of Dry spreader; for growing spring wheat; at farm; 280HP tractor, 44 ft wide
operation of Dry spreader; for growing winter wheat; at farm; 190HP tractor, 31 ft wide
operation of Dry spreader; for growing winter wheat; at farm; 240HP tractor, 38 ft wide
operation of Dry spreader; for growing winter wheat; at farm; 280HP tractor, 44 ft wide
operation of Field cultivator (Cultivator, field 6-12 in shovels C); for growing cotton; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field 6-12 in shovels C); for growing cotton; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field 6-12 in shovels C); for growing cotton; at farm; 260HP tractor, 42 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing corn; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing corn; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing corn; at farm; 260HP tractor, 42 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing cotton; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing cotton; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing cotton; at farm; 260HP tractor, 42 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing oats; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing oats; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing oats; at farm; 260HP tractor, 42 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing peanuts; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing peanuts; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing peanuts; at farm; 260HP tractor, 42 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing rice; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing rice; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing rice; at farm; 260HP tractor, 42 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing soybeans; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing soybeans; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field 6-12 in sweeps); for growing soybeans; at farm; 260HP tractor, 42 ft wide
operation of Field cultivator (Cultivator, field w/ spike points); for growing corn; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field w/ spike points); for growing corn; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field w/ spike points); for growing corn; at farm; 260HP tractor, 42 ft wide
operation of Field cultivator (Cultivator, field w/ spike points); for growing rice; at farm; 150HP tractor, 25 ft wide
operation of Field cultivator (Cultivator, field w/ spike points); for growing rice; at farm; 225HP tractor, 37 ft wide
operation of Field cultivator (Cultivator, field w/ spike points); for growing rice; at farm; 260HP tractor, 42 ft wide
operation of Forage harvester; for harvesting corn; at farm; 100HP tractor, 6 ft wide
operation of Forage harvester; for harvesting cotton; at farm; 100HP tractor, 6 ft wide
operation of Forage harvester; for harvesting durum wheat; at farm; 100HP tractor, 6 ft wide
operation of Forage harvester; for harvesting oats; at farm; 100HP tractor, 6 ft wide
operation of Forage harvester; for harvesting peanuts; at farm; 100HP tractor, 6 ft wide
operation of Forage harvester; for harvesting rice; at farm; 100HP tractor, 6 ft wide
operation of Forage harvester; for harvesting soybeans; at farm; 100HP tractor, 6 ft wide
operation of Forage harvester; for harvesting spring wheat; at farm; 100HP tractor, 6 ft wide
operation of Forage harvester; for harvesting winter wheat; at farm; 100HP tractor, 6 ft wide
operation of Harrow (Harrow, heavy); for growing oats; at farm; 150HP tractor, 21 ft wide
operation of Harrow (Harrow, heavy); for growing oats; at farm; 190HP tractor, 24 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting corn; at farm; 315HP, 12 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting cotton; at farm; 315HP, 12 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting durum wheat; at farm; 315HP, 12 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting oats; at farm; 315HP, 12 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting peanuts; at farm; 315HP, 12 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting rice; at farm; 315HP, 12 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting soybeans; at farm; 315HP, 12 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting spring wheat; at farm; 315HP, 12 ft wide
operation of Harvester w/ pickup head (Forage harvester); for harvesting winter wheat; at farm; 315HP, 12 ft wide
operation of Header-Corn; operated with a cart, for harvesting corn; at farm; 265HP tractor, 19 ft wide
operation of Header-Corn; operated with a cart, for harvesting corn; at farm; 325HP tractor, 25.3 ft wide
operation of Header-Corn; operated without a cart, for harvesting corn; at farm; 265HP tractor, 19 ft wide
operation of Header-Corn; operated without a cart, for harvesting corn; at farm; 325HP tractor, 25.3 ft wide
operation of Header-Draper; for harvesting durum wheat; at farm; 325HP tractor, 30 ft wide
operation of Header-Draper; for harvesting spring wheat; at farm; 325HP tractor, 30 ft wide
operation of Header-Draper; for harvesting winter wheat; at farm; 325HP tractor, 30 ft wide
operation of Header-Rice; operated with a cart, for harvesting rice; at farm; 325HP tractor, 25 ft wide
operation of Header-Rice; operated without a cart, for harvesting rice; at farm; 325HP tractor, 25 ft wide
operation of Header-Soybean; operated with a cart, for harvesting soybeans; at farm; 265HP tractor, 22 ft wide
operation of Header-Soybean; operated with a cart, for harvesting soybeans; at farm; 325HP tractor, 25 ft wide
operation of Header-Soybean; operated without a cart, for harvesting soybeans; at farm; 265HP tractor, 22 ft wide
operation of Header-Soybean; operated without a cart, for harvesting soybeans; at farm; 325HP tractor, 25 ft wide
operation of Header-Wheat-sorghum; for harvesting durum wheat; at farm; 265HP tractor, 22 ft wide
operation of Header-Wheat-sorghum; for harvesting durum wheat; at farm; 325HP tractor, 25 ft wide
operation of Header-Wheat-sorghum; for harvesting spring wheat; at farm; 265HP tractor, 22 ft wide
operation of Header-Wheat-sorghum; for harvesting spring wheat; at farm; 325HP tractor, 25 ft wide
operation of Header-Wheat-sorghum; for harvesting winter wheat; at farm; 265HP tractor, 22 ft wide
operation of Header-Wheat-sorghum; for harvesting winter wheat; at farm; 325HP tractor, 25 ft wide
operation of Land plane; for growing corn; at farm; 190HP tractor, 16 ft wide
operation of Land plane; for growing cotton; at farm; 190HP tractor, 16 ft wide
operation of Land plane; for growing rice; at farm; 190HP tractor, 16 ft wide
operation of Lister (Lister, 40 in); for growing cotton; at farm; 75HP tractor, 20 ft wide
operation of Mintill row planter (Planter, double disk opnr w/fluted coulter); for growing corn; at farm; 170HP tractor, R8-30
operation of Mintill row planter (Planter, double disk opnr w/fluted coulter); for growing corn; at farm; 190HP tractor, R15-30
operation of Mintill row planter (Planter, double disk opnr w/fluted coulter); for growing corn; at farm; 215HP tractor, R16-30
operation of Mintill row planter (Planter, double disk opnr w/fluted coulter); for growing cotton; at farm; 170HP tractor, R8-8
operation of Mintill row planter (Planter, double disk opnr w/fluted coulter); for growing soybeans; at farm; 170HP tractor, R8-15
operation of Mintill row planter (Planter, double disk opnr); for growing corn; at farm; 170HP tractor, R8-30
operation of Mintill row planter (Planter, double disk opnr); for growing corn; at farm; 190HP tractor, R15-30
operation of Mintill row planter (Planter, double disk opnr); for growing corn; at farm; 215HP tractor, R16-30
operation of Mintill row planter (Planter, double disk opnr); for growing cotton; at farm; 170HP tractor, R8-8
operation of Mintill row planter (Planter, double disk opnr); for growing peanuts; at farm; 170HP tractor, R8-38
operation of Mintill row planter (Planter, double disk opnr); for growing peanuts; at farm; 190HP tractor, R15-38
operation of Mintill row planter (Planter, double disk opnr); for growing peanuts; at farm; 215HP tractor, R16-38
operation of Mintill row planter (Planter, double disk opnr); for growing soybeans; at farm; 170HP tractor, R8-15
operation of Mintill row planter (Planter, in-row subsoiler low disturbace); for growing corn; at farm; 170HP tractor, R8-30
operation of Mintill row planter (Planter, in-row subsoiler low disturbace); for growing corn; at farm; 190HP tractor, R15-30
operation of Mintill row planter (Planter, in-row subsoiler low disturbace); for growing corn; at farm; 215HP tractor, R16-30
operation of Mintill row planter (Planter, in-row subsoiler low disturbace); for growing cotton; at farm; 170HP tractor, R8-8
operation of Mintill row planter (Planter, in-row subsoiler low disturbace); for growing peanuts; at farm; 170HP tractor, R8-38
operation of Mintill row planter (Planter, in-row subsoiler low disturbace); for growing peanuts; at farm; 190HP tractor, R15-38
operation of Mintill row planter (Planter, in-row subsoiler low disturbace); for growing peanuts; at farm; 215HP tractor, R16-38
operation of Mintill row planter (Planter, narrow slot w/smooth or rippled coulter); for growing cotton; at farm; 170HP tractor, R8-8
operation of Mintill row planter (Planter, narrow slot w/smooth or rippled coulter); for growing peanuts; at farm; 170HP tractor, R8-38
operation of Mintill row planter (Planter, narrow slot w/smooth or rippled coulter); for growing peanuts; at farm; 190HP tractor, R15-38
operation of Mintill row planter (Planter, narrow slot w/smooth or rippled coulter); for growing peanuts; at farm; 215HP tractor, R16-38
operation of Moldboard plow (Plow, moldboard); for growing corn; at farm; 115HP tractor, 9 ft wide
operation of Moldboard plow (Plow, moldboard); for growing corn; at farm; 140HP tractor, 10 ft wide
operation of Moldboard plow (Plow, moldboard); for growing corn; at farm; 190HP tractor, 12 ft wide
operation of Moldboard plow (Plow, moldboard); for growing cotton; at farm; 115HP tractor, 9 ft wide
operation of Moldboard plow (Plow, moldboard); for growing cotton; at farm; 140HP tractor, 10 ft wide
operation of Moldboard plow (Plow, moldboard); for growing cotton; at farm; 190HP tractor, 12 ft wide
operation of Moldboard plow (Plow, moldboard); for growing oats; at farm; 115HP tractor, 9 ft wide
operation of Moldboard plow (Plow, moldboard); for growing oats; at farm; 140HP tractor, 10 ft wide
operation of Moldboard plow (Plow, moldboard); for growing oats; at farm; 190HP tractor, 12 ft wide
operation of Moldboard plow (Plow, moldboard); for growing peanuts; at farm; 115HP tractor, 9 ft wide
operation of Moldboard plow (Plow, moldboard); for growing peanuts; at farm; 140HP tractor, 10 ft wide
operation of Moldboard plow (Plow, moldboard); for growing peanuts; at farm; 190HP tractor, 12 ft wide
operation of Moldboard plow (Plow, moldboard); for growing rice; at farm; 115HP tractor, 9 ft wide
operation of Moldboard plow (Plow, moldboard); for growing rice; at farm; 140HP tractor, 10 ft wide
operation of Moldboard plow (Plow, moldboard); for growing rice; at farm; 190HP tractor, 12 ft wide
operation of Moldboard plow (Plow, moldboard); for growing soybeans; at farm; 115HP tractor, 9 ft wide
operation of Moldboard plow (Plow, moldboard); for growing soybeans; at farm; 140HP tractor, 10 ft wide
operation of Moldboard plow (Plow, moldboard); for growing soybeans; at farm; 190HP tractor, 12 ft wide
operation of No-till drill (Drill or air seeder single disk openers 7-10 in spac.); for growing oats; at farm; 130HP tractor, 13 ft wide
operation of No-till drill (Drill or air seeder single disk openers 7-10 in spac.); for growing oats; at farm; 150HP tractor, 16 ft wide
operation of No-till drill (Drill or air seeder single disk openers 7-10 in spac.); for growing oats; at farm; 170HP tractor, 18 ft wide
operation of No-till drill (Drill or air seeder single disk openers 7-10 in spac.); for growing rice; at farm; 130HP tractor, 13 ft wide
operation of No-till drill (Drill or air seeder single disk openers 7-10 in spac.); for growing rice; at farm; 150HP tractor, 16 ft wide
operation of No-till drill (Drill or air seeder single disk openers 7-10 in spac.); for growing rice; at farm; 170HP tractor, 18 ft wide
operation of No-till drill (Drill or airseeder, double disk); for growing cotton; at farm; 130HP tractor, 13 ft wide
operation of No-till drill (Drill or airseeder, double disk); for growing cotton; at farm; 150HP tractor, 16 ft wide
operation of No-till drill (Drill or airseeder, double disk); for growing cotton; at farm; 170HP tractor, 18 ft wide
operation of No-till drill (Drill or airseeder, double disk); for growing oats; at farm; 130HP tractor, 13 ft wide
operation of No-till drill (Drill or airseeder, double disk); for growing oats; at farm; 150HP tractor, 16 ft wide
operation of No-till drill (Drill or airseeder, double disk); for growing oats; at farm; 170HP tractor, 18 ft wide
operation of No-till drill (Drill or airseeder, double disk, w/ fluted coulters); for growing cotton; at farm; 130HP tractor, 13 ft wide
operation of No-till drill (Drill or airseeder, double disk, w/ fluted coulters); for growing cotton; at farm; 150HP tractor, 16 ft wide
operation of No-till drill (Drill or airseeder, double disk, w/ fluted coulters); for growing cotton; at farm; 170HP tractor, 18 ft wide
operation of No-till drill (Drill or airseeder, double disk, w/ fluted coulters); for growing oats; at farm; 130HP tractor, 13 ft wide
operation of No-till drill (Drill or airseeder, double disk, w/ fluted coulters); for growing oats; at farm; 150HP tractor, 16 ft wide
operation of No-till drill (Drill or airseeder, double disk, w/ fluted coulters); for growing oats; at farm; 170HP tractor, 18 ft wide
operation of No-till drill (Drill or airseeder, offset double disk openers); for growing rice; at farm; 130HP tractor, 13 ft wide
operation of No-till drill (Drill or airseeder, offset double disk openers); for growing rice; at farm; 150HP tractor, 16 ft wide
operation of No-till drill (Drill or airseeder, offset double disk openers); for growing rice; at farm; 170HP tractor, 18 ft wide
operation of No-till drill (Drill, heavy, direct seed, dbl disk opnr); for growing oats; at farm; 130HP tractor, 13 ft wide
operation of No-till drill (Drill, heavy, direct seed, dbl disk opnr); for growing oats; at farm; 150HP tractor, 16 ft wide
operation of No-till drill (Drill, heavy, direct seed, dbl disk opnr); for growing oats; at farm; 170HP tractor, 18 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing corn; at farm; 105HP tractor, 12 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing corn; at farm; 140HP tractor, 12 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing corn; at farm; 155HP tractor, 15 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing cotton; at farm; 105HP tractor, 12 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing cotton; at farm; 140HP tractor, 12 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing cotton; at farm; 155HP tractor, 15 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing rice; at farm; 105HP tractor, 12 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing rice; at farm; 140HP tractor, 12 ft wide
operation of Offset or heavy disk (Disk, offset, heavy); for growing rice; at farm; 155HP tractor, 15 ft wide
operation of Peanut Dig/Invertor; for harvesting peanuts; at farm; 190HP tractor, R4-38
operation of Peanut Lifter; for harvesting peanuts; at farm; 225HP tractor, R6-38
operation of Peanut dump cart; for harvesting peanuts; at farm; 190HP tractor, R6-38
operation of Peanut harvester; for harvesting peanuts; at farm; 225HP tractor, R4-38
operation of Rice grain cart; for harvesting oats; at farm; 190HP tractor, 1000 bu
operation of Rice grain cart; for harvesting oats; at farm; 190HP tractor, 500 bu
operation of Rice grain cart; for harvesting oats; at farm; 190HP tractor, 700 bu
operation of Rice grain cart; for harvesting rice; at farm; 190HP tractor, 1000 bu
operation of Rice grain cart; for harvesting rice; at farm; 190HP tractor, 500 bu
operation of Rice grain cart; for harvesting rice; at farm; 190HP tractor, 700 bu
operation of Ridge cultivator (Cultivator, row - 1st pass ridge till); for growing corn; at farm; 150HP tractor, R8-30
operation of Ridge cultivator (Cultivator, row - 1st pass ridge till); for growing corn; at farm; 170HP tractor, R8-30
operation of Ridge cultivator (Cultivator, row - 1st pass ridge till); for growing corn; at farm; 190HP tractor, R12-30
operation of Ridge cultivator (Cultivator, row - 1st pass ridge till); for growing soybeans; at farm; 150HP tractor, R8-15
operation of Ridge cultivator (Cultivator, row - 2nd pass ridge till); for growing corn; at farm; 150HP tractor, R8-30
operation of Ridge cultivator (Cultivator, row - 2nd pass ridge till); for growing corn; at farm; 170HP tractor, R8-30
operation of Ridge cultivator (Cultivator, row - 2nd pass ridge till); for growing corn; at farm; 190HP tractor, R12-30
operation of Ridge cultivator (Cultivator, row 1 in ridge); for growing cotton; at farm; 150HP tractor, R8-8
operation of Ridge cultivator (Cultivator, row 1 in ridge); for growing peanuts; at farm; 150HP tractor, R8-38
operation of Ridge cultivator (Cultivator, row 1 in ridge); for growing peanuts; at farm; 170HP tractor, R8-38
operation of Ridge cultivator (Cultivator, row 1 in ridge); for growing peanuts; at farm; 190HP tractor, R12-38
operation of Ridge cultivator (Cultivator, row 3 in ridge); for growing corn; at farm; 150HP tractor, R8-30
operation of Ridge cultivator (Cultivator, row 3 in ridge); for growing corn; at farm; 170HP tractor, R8-30
operation of Ridge cultivator (Cultivator, row 3 in ridge); for growing corn; at farm; 190HP tractor, R12-30
operation of Ridge cultivator (Cultivator, row 3 in ridge); for growing cotton; at farm; 150HP tractor, R8-8
operation of Ridge cultivator (Cultivator, row 3 in ridge); for growing peanuts; at farm; 150HP tractor, R8-38
operation of Ridge cultivator (Cultivator, row 3 in ridge); for growing peanuts; at farm; 170HP tractor, R8-38
operation of Ridge cultivator (Cultivator, row 3 in ridge); for growing peanuts; at farm; 190HP tractor, R12-38
operation of Rodweeder; for growing cotton; at farm; 100HP tractor, R8-8
operation of Roller/Stubble (Roller, smooth); for growing rice; at farm; 50HP tractor, 20 ft wide
operation of Rotary hoe (Cultivator, rotary); for growing cotton; at farm; 105HP tractor, 22 ft wide
operation of Rotary hoe (Cultivator, rotary); for growing cotton; at farm; 140HP tractor, 28 ft wide
operation of Rotary hoe (Cultivator, rotary); for growing cotton; at farm; 75HP tractor, 17 ft wide
operation of Rotary hoe; for growing corn; at farm; 105HP tractor, 22 ft wide
operation of Rotary hoe; for growing corn; at farm; 140HP tractor, 28 ft wide
operation of Rotary hoe; for growing corn; at farm; 75HP tractor, 17 ft wide
operation of Rotary hoe; for growing cotton; at farm; 105HP tractor, 22 ft wide
operation of Rotary hoe; for growing cotton; at farm; 140HP tractor, 28 ft wide
operation of Rotary hoe; for growing cotton; at farm; 75HP tractor, 17 ft wide
operation of Rotary hoe; for growing peanuts; at farm; 105HP tractor, 22 ft wide
operation of Rotary hoe; for growing peanuts; at farm; 140HP tractor, 28 ft wide
operation of Rotary hoe; for growing peanuts; at farm; 75HP tractor, 17 ft wide
operation of Row cultivator (Cultivator, row between beds); for growing cotton; at farm; 140HP tractor, R8-8
operation of Row planter (Planter, double disk opener on 8 inch high beds); for growing cotton; at farm; 150HP tractor, R6-8
operation of Row planter (Planter, in-row subsoiler); for growing corn; at farm; 150HP tractor, R6-30
operation of Row planter (Planter, in-row subsoiler); for growing corn; at farm; 190HP tractor, R15-30
operation of Row planter (Planter, in-row subsoiler); for growing peanuts; at farm; 150HP tractor, R6-38
operation of Row planter (Planter, in-row subsoiler); for growing peanuts; at farm; 190HP tractor, R15-38
operation of Row planter (Planter, ridge till); for growing corn; at farm; 150HP tractor, R6-30
operation of Row planter (Planter, ridge till); for growing corn; at farm; 190HP tractor, R15-30
operation of Soybean grain cart; for harvesting soybeans; at farm; 190HP tractor, 1000 bu
operation of Soybean grain cart; for harvesting soybeans; at farm; 190HP tractor, 500 bu
operation of Soybean grain cart; for harvesting soybeans; at farm; 190HP tractor, 700 bu
operation of Spot sprayer; for growing corn; at farm; 170HP tractor, 40 ft wide
operation of Spot sprayer; for growing cotton; at farm; 170HP tractor, 40 ft wide
operation of Spot sprayer; for growing oats; at farm; 170HP tractor, 40 ft wide
operation of Spot sprayer; for growing peanuts; at farm; 170HP tractor, 40 ft wide
operation of Spot sprayer; for growing rice; at farm; 170HP tractor, 40 ft wide
operation of Spot sprayer; for growing soybeans; at farm; 170HP tractor, 40 ft wide
operation of Spot sprayer; for growing spring wheat; at farm; 170HP tractor, 40 ft wide
operation of Spot sprayer; for growing winter wheat; at farm; 170HP tractor, 40 ft wide
operation of Subsoiler (Subsoiler bedder (ripper/hipper)); for growing cotton; at farm; 145HP tractor, 16.7 ft wide
operation of Subsoiler (Subsoiler bedder (ripper/hipper)); for growing cotton; at farm; 165HP tractor, 17 ft wide
operation of Subsoiler; for growing cotton; at farm; 305HP tractor, 16.7 ft wide
operation of Subsoiler; for growing cotton; at farm; 355HP tractor, 17 ft wide
operation of Swather; for harvesting oats; at farm; 115HP, 14 ft wide
operation of Swather; for harvesting oats; at farm; 165HP, 14 ft wide
operation of Swather; for harvesting oats; at farm; 80HP, 14 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing corn; at farm; 145HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing corn; at farm; 210HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing corn; at farm; 90HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing cotton; at farm; 145HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing cotton; at farm; 210HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing cotton; at farm; 90HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing oats; at farm; 145HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing oats; at farm; 210HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing oats; at farm; 90HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing peanuts; at farm; 145HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing peanuts; at farm; 210HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing peanuts; at farm; 90HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing rice; at farm; 145HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing rice; at farm; 210HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing rice; at farm; 90HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing soybeans; at farm; 145HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing soybeans; at farm; 210HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing soybeans; at farm; 90HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing spring wheat; at farm; 145HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing spring wheat; at farm; 210HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing spring wheat; at farm; 90HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing winter wheat; at farm; 145HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing winter wheat; at farm; 210HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem heavy primary op.); for growing winter wheat; at farm; 90HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing corn; at farm; 105HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing corn; at farm; 45HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing corn; at farm; 70HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing cotton; at farm; 105HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing cotton; at farm; 45HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing cotton; at farm; 70HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing oats; at farm; 105HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing oats; at farm; 45HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing oats; at farm; 70HP tractor, 15 ft wide
